democratic_connection_profile,democracy_satisfaction,party_trust,political_efficacy,social_trust,income_feeling,left_right_placement,voted
Connected Democratic Core,8.0,5.0,2.75,3.3333333333333335,1.0,5.0,1
Connected Democratic Core,7.0,3.0,2.75,7.333333333333333,2.0,3.0,1
Connected Democratic Core,8.0,7.0,2.0,6.666666666666667,1.0,5.0,1
Connected Democratic Core,8.0,7.0,3.25,7.333333333333333,1.0,6.0,1
Connected Democratic Core,9.0,7.0,3.25,4.666666666666667,2.0,3.0,1
Connected Democratic Core,5.0,5.0,2.75,7.0,2.0,5.0,1
Disappointed Democratic Participants,2.0,0.0,2.0,2.6666666666666665,2.0,7.0,1
Connected Democratic Core,7.0,5.0,3.0,4.666666666666667,1.0,4.0,1
Connected Democratic Core,9.0,7.0,3.0,6.666666666666667,1.0,4.0,1
Connected Democratic Core,6.0,5.0,3.0,4.666666666666667,2.0,5.0,1
Disappointed Democratic Participants,5.0,4.0,2.25,6.0,2.0,8.0,1
Connected Democratic Core,9.0,6.0,3.75,7.0,1.0,3.0,1
Connected Democratic Core,6.0,6.0,3.0,6.333333333333333,2.0,6.0,1
Connected Democratic Core,6.0,5.0,3.25,6.666666666666667,1.0,7.0,1
Disappointed Democratic Participants,3.0,3.0,2.25,6.0,2.0,3.0,1
Disappointed Democratic Participants,1.0,5.0,2.0,5.666666666666667,3.0,0.0,1
Connected Democratic Core,7.0,3.0,3.25,6.0,1.0,5.0,1
Connected Democratic Core,8.0,1.0,4.0,4.0,2.0,5.0,1
Connected Democratic Core,4.0,5.0,3.75,5.0,2.0,4.0,1
Connected Democratic Core,7.0,7.0,2.75,6.333333333333333,2.0,4.0,1
Disappointed Democratic Participants,3.0,5.0,2.0,8.333333333333334,2.0,5.0,1
Connected Democratic Core,8.0,7.0,2.0,6.666666666666667,1.0,2.0,1
Connected Democratic Core,8.0,2.0,2.0,6.666666666666667,1.0,5.0,1
Disappointed Democratic Participants,7.0,2.0,2.5,5.333333333333333,1.0,5.0,1
Connected Democratic Core,8.0,3.0,2.5,6.333333333333333,2.0,4.0,1
Disengaged Non-voters,5.0,1.0,2.5,5.666666666666667,3.0,3.0,0
Disappointed Democratic Participants,0.0,0.0,2.0,6.666666666666667,3.0,0.0,1
Connected Democratic Core,8.0,6.0,3.25,6.0,2.0,2.0,1
Disappointed Democratic Participants,4.0,2.0,1.75,6.0,1.0,5.0,1
Disengaged Non-voters,5.0,1.0,1.5,7.0,2.0,5.0,0
