cntry,stfdem,trstprl,trstplt,trstprt,trstlgl,trstplc,trstep,trstun,social_trust_index,social_trust_group,political_efficacy_index,efficacy_group,vote_clean,hincfel,lrscale,lr_group,eduyrs,agea,gndr
DE,8.0,7.0,5.0,5.0,7.0,8.0,6.0,6.0,3.3333333333333335,Low social trust,2.75,Medium efficacy,Voted,1.0,5.0,Center (4-6),17.0,34.0,1.0
DE,7.0,4.0,5.0,3.0,8.0,8.0,3.0,7.0,7.333333333333333,High social trust,2.75,Medium efficacy,Voted,2.0,3.0,Left (0-3),17.0,42.0,2.0
DE,8.0,7.0,8.0,7.0,8.0,8.0,9.0,9.0,6.666666666666667,High social trust,2.0,Low efficacy,Voted,1.0,5.0,Center (4-6),13.0,58.0,2.0
DE,8.0,7.0,7.0,7.0,8.0,9.0,8.0,2.0,7.333333333333333,High social trust,3.25,High efficacy,Voted,1.0,6.0,Center (4-6),17.0,40.0,1.0
DE,9.0,8.0,7.0,7.0,9.0,9.0,6.0,7.0,4.666666666666667,Low social trust,3.25,High efficacy,Voted,2.0,3.0,Left (0-3),17.0,46.0,1.0
DE,5.0,6.0,6.0,5.0,9.0,10.0,5.0,4.0,7.0,High social trust,2.75,Medium efficacy,Voted,2.0,5.0,Center (4-6),11.0,56.0,1.0
DE,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.6666666666666665,Low social trust,2.0,Low efficacy,Voted,2.0,7.0,Right (7-10),15.0,63.0,1.0
DE,7.0,8.0,4.0,5.0,9.0,8.0,7.0,7.0,4.666666666666667,Low social trust,3.0,High efficacy,Voted,1.0,4.0,Center (4-6),14.0,24.0,1.0
DE,9.0,10.0,6.0,7.0,10.0,8.0,7.0,8.0,6.666666666666667,High social trust,3.0,High efficacy,Voted,1.0,4.0,Center (4-6),20.0,57.0,1.0
DE,6.0,6.0,6.0,5.0,8.0,8.0,5.0,5.0,4.666666666666667,Low social trust,3.0,High efficacy,Voted,2.0,5.0,Center (4-6),15.0,66.0,1.0
DE,9.0,7.0,7.0,6.0,9.0,8.0,8.0,6.0,7.0,High social trust,3.75,High efficacy,Voted,1.0,3.0,Left (0-3),28.0,64.0,1.0
DE,6.0,8.0,6.0,6.0,7.0,8.0,7.0,8.0,6.333333333333333,Medium social trust,3.0,High efficacy,Voted,2.0,6.0,Center (4-6),18.0,38.0,1.0
