party_id,party_short,party_name,issue_id,issue_title,issue_text,position,position_reason,position_score,connection_dimension,connection_dimension_label_refined,connection_relevance,issue_alignment_direction,connection_alignment_score
1,SPD,Sozialdemokratische Partei Deutschlands,1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,"Die SPD bekennt sich klar zur diplomatischen, militärischen, finanziellen und humanitären Unterstützung der Ukraine im Kampf gegen den völkerrechtswidrigen russischen Angriffskrieg – so lange wie nötig. Die Ukraine muss mögliche Verhandlungen auf Augenhöhe mit Russland führen können. Zur Verteidigung der Ukraine und zur Sicherung des Friedens in Europa unterstützt die SPD mit Besonnenheit und Augenmaß. Für uns gilt, dass Deutschland und die NATO nicht selbst zur Kriegspartei werden dürfen.",1,democratic_institutions,Democratic institutions and rule of law,indirect,1,1
2,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,"Unser Ziel ist Frieden in Europa. Die Ukraine verteidigt auch uns, denn fällt die Ukraine, droht ein russischer Angriff auf weitere Länder. Daher unterstützen wir die Ukraine mit diplomatischen, finanziellen und humanitären Mitteln sowie mit Waffenlieferungen. Sie muss ihr Selbstverteidigungsrecht ausüben können. Unser Ziel ist ein Friedensprozess, der von der Ukraine aus einer Position der Stärke geführt werden kann.",1,democratic_institutions,Democratic institutions and rule of law,indirect,1,1
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,"Millionen Ukrainer*innen verteidigen Tag für Tag ihr Leben, ihre Freiheit und den Frieden in Europa gegen die brutale Aggression von Putins Russland. Dabei stehen wir fest an ihrer Seite - mit diplomatischer, finanzieller, humanitärer und militärischer Unterstützung. Die Ukraine muss in der Lage sein, sich zu verteidigen und eine starke Position für einen möglichen Friedensprozess sicherzustellen. Das ist auch unser bester Eigenschutz hier im Herzen Europas.",1,democratic_institutions,Democratic institutions and rule of law,indirect,1,1
4,FDP,Freie Demokratische Partei,1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,Unsere Unterstützung für die Ukraine darf nicht an Geld oder Waffenlieferungen scheitern. Denn die Ukraine verteidigt auch unsere Freiheit. Daher fordern wir u.a. die Lieferung von Taurus und weiterer Waffensysteme an die Ukraine. Wir setzen uns zudem für eine dauerhafte und gerecht verteilte Finanzierung der Unterstützung der Ukraine ein. Ziel ist die Wiederherstellung der territorialen Integrität der Ukraine sowie ihr Beitritt zur EU und NATO.,1,democratic_institutions,Democratic institutions and rule of law,indirect,1,1
5,AfD,Alternative für Deutschland,1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme nicht zu,"Wir fordern von allen Kriegsparteien eine Einstellung der Kampfhandlungen und die Aufnahme von Friedensgesprächen ohne Vorbedingungen. Die Alternative für Deutschland versteht sich als Partei, in der Diplomatie und friedliche Konfliktbewältigung vorrangig sind.",-1,democratic_institutions,Democratic institutions and rule of law,indirect,1,-1
6,Die Linke,Die Linke,1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme nicht zu,"Militärische Unterstützung hat den Krieg und das Leid nicht beendet. Wir unterstützen diplomatische Initiativen, die Russland und die Ukraine an den Verhandlungstisch bringen. Ziel muss ein Waffenstillstand und ein gerechter Frieden sein.  ",-1,democratic_institutions,Democratic institutions and rule of law,indirect,1,-1
26,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,1,Unterstützung der Ukraine,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme nicht zu,,-1,democratic_institutions,Democratic institutions and rule of law,indirect,1,-1
1,SPD,Sozialdemokratische Partei Deutschlands,2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,Der konsequente Ausbau von und Umstieg auf erneuerbare Energien sowie die Einbindung von Speichern macht Energieversorgung sicher und dauerhaft bezahlbar. Wir wollen mit Augenmaß fördern: Gerade bisher weniger beachtete Erneuerbare wie etwa die Geothermie brauchen weiterhin gezielte Förderung. Perspektivisch sollen erneuerbare Energien wie Windkraft oder Sonnenenergie aber auch ohne staatliche Förderung auskommen.,1,institutional_responsiveness,Institutional responsiveness,indirect,1,1
2,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,"Wir bringen alle Kapazitäten ans Netz, die klimafreundlich und systemdienlich sind, angefangen bei einem zielgerichteten weiteren Ausbau der Erneuerbaren Energien. Ein besonderes Augenmerk legen wir auf den integrierten und grenzüberschreitenden Netzausbau sowie auf eine effiziente Verknüpfung des Ausbaus von Erneuerbaren Energien, Netzen und Speichern. Dafür wollen wir auch mehr privates Kapital gewinnen.",1,institutional_responsiveness,Institutional responsiveness,indirect,1,1
3,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,2,Erneuerbare Energien,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,"Günstiger Strom aus erneuerbaren Energien wie Wind, Sonne, Wasserkraft, Geothermie sowie naturverträgliche Bioenergie sichern unseren Wohlstand. Wir halten Kurs mit dem erreichten Rekord-Ausbautempo. Dazu werden wir auch in Zukunft dezentrale Erzeuger von Solar- und Windenergie sowie Speicher, Elektrolyseure durch Bürokratieabbau und Planungssicherheit unterstützen. So sichern wir rentable Geschäftsmodelle, beispielsweise für Stadtwerke, Energiegenossenschaften und landwirtschaftliche Betriebe.",1,institutional_responsiveness,Institutional responsiveness,indirect,1,1
